Sentence,SRLs
वहीं कश्मीर माकपा ईकाई तारीगामी पत्रकारों कहा कि हम सरकार कार्यक्रम पाकिस्तान और कश्मीर2 संगठनों वार्ता शामिल करने अपील करते,ARGM-DIS ARGM-LOC NO_SRL NO_SRL ARG0 ARG2 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
उन्होंने कहा कि NULL राज्य खूनखराबा रोकने स्तर पाकिस्तान वार्ता शुरू करने NULL2 और वार्ता2 कश्मीर विचारधाराओं दलों शामिल करने2 कदम उठाने जरूरत है,ARG0 NO_SRL ARG1 NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARG1 NO_SRL
उन्होंने कहा कि सिंह और मुशर्रफ या सचिवों बैठक कदमों संबंधों मजबूती देने जरूरत है,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
संगठन उम्मीद जताई कि सरकार सरकार2 वार्ता नतीजों सम्मान करेगी,ARG0 ARG1 NO_SRL ARGM-ADV NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
अंसारी कहा कि हम पाटिल बयान स्वागत करते जिसमें उन्होंने अलगाववादियों वार्ता जारी रखने बात कही,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
यह संकेत है,ARG1 ARG2-ATR NO_SRL
सरकार कहा कि अभियोजन मामले साबित करने संभावना थी,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हेगड़े सिंह और सिन्हा बेंच बुधवार मामले सुनवाई हफ्ते टाल तथा सरकार फैसले चुनौती देने याचिका पक्षों दस्तावेज दाखिल करने अनुमति दे,NO_SRL NO_SRL NO_SRL NO_SRL ARG0 ARGM-TMP NO_SRL ARG1 ARGM-EXT NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
खंडपीठ तसलीमुद्दीन मामले वापस लेने सरकार NULL दिखाई जल्दबाजी सवाल किया,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG0 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL
विभाग सरकार शपथ साफ़ कहा कि NULL मामले तसलीमुद्दीन को आगे बढ़ाने लाभ है2 क्योंकि इसमें अभियोजन सफलता मिलने आसार हैं,ARGM-LOC ARGM-DIR ARGM-LOC ARGM-MNR NO_SRL ARG1 NO_SRL ARG1 NO_SRL NO_SRL ARGM-DIR NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG0 ARG1 NO_SRL NO_SRL NO_SRL
NULL मामले आगे बढ़ाना अदालत समय बर्बाद करना,NO_SRL ARG1 ARGM-DIR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हालांकि मामला अदालत १९९६ लंबित था,NO_SRL ARG1 ARGM-LOC ARGM-TMP ARG2-ATR NO_SRL
सरकार तसलीमुद्दीन मामलों जल्दबाजी वापस लेने एतराज़ जताते अदालत साल सितंबर अदालत2 मुद्दे आगे सुनवाई करने रोक,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 ARGM-TMP ARGM-TMP ARG2 NO_SRL NO_SRL NO_SRL ARGM-MNR NO_SRL
सरकार शपथ कहा कि मामला बदले भावना किया,ARG0 ARGM-LOC NO_SRL ARG1 ARG1 NO_SRL ARGM-MNR NO_SRL
पुलिस रिपोर्ट कहा कि साक्ष्य अभियोजन समर्थन करते,ARG0 ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
लिहाजा मुकदमा जारी रहने फ़ायदा है इसलिए जनहित केस वापस लेना उचित होगा,NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARGM-CAU ARGM-LOC NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
उल्लेखनीय NULL है कि १९९६ थाने तसलीमुद्दीन व अन्य प्राथमिकी दर्ज हुई और संहिता १४७ १४८ ३०७ और2 धाराओं आरोप लगाए,ARG2-ATR ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-EXT NO_SRL ARG1 NO_SRL
वर्ष NULL जाते करीब साल पुराने गठबंधन यूपीए में फूट संकेत दे,ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
सरकार दलों घोषणा कांग्रेस सकते है,NO_SRL NO_SRL ARGM-CAU ARG1 ARG2-ATR NO_SRL
बैठक नेताओं सुप्रीमो यादव व पवार फोन कर तरह NULL दबाव आकर समूह गठन खबर खारिज करने कहा,ARGM-TMP ARG0 NO_SRL NO_SRL ARG0 NO_SRL NO_SRL ARGM-MNR NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
दरअसल राव यूपीए वामदलों तरजीह दिए नाराज हैं,ARGM-ADV ARG1 NO_SRL NO_SRL NO_SRL ARGM-CAU ARG2-ATR NO_SRL
उनका मानना कि सरकार राज्य मुद्दे गंभीरता ले,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG1 ARGM-MNR NO_SRL
उनके कांग्रेसी व वामदल NULL फ्रंट बनाने जरूरत है,ARGM-ADV NO_SRL ARG0 NO_SRL NO_SRL ARG1 NO_SRL ARG1 NO_SRL
सरकार शामिल दल अगर कांग्रेसी व वामदल फ्रंट बनाते तो यूपीए सेहत बिगड़नी लाजिमी है,NO_SRL NO_SRL ARG0 ARGM-ADV NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARG1 ARG1 ARG2-ATR NO_SRL
NULL यही सोचकर कांग्रेस NULL2 राव मनाने कोशिशें शुरू कर,NO_SRL ARG1 NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
पार्टी नेता पटेल कहा कि यदि यूपीए दलों शिकायत है तो गांधी उनसे बात करने तैयार हैं,NO_SRL NO_SRL ARG0 NO_SRL ARG1 ARGM-ADV NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARGM-PRP ARG2-ATR NO_SRL
बातचीत मसले हल तलाशा,ARGM-MNS NO_SRL ARG1 NO_SRL
उन्होंने कहा कि सरकार तरह दिक्कतें आती,ARG0 NO_SRL ARG1 ARGM-LOC NO_SRL ARG1 NO_SRL
वहीं अनंतनाग किलो विस्फोटक और NULL NULL2 विस्फोटक2 बनाने रसायन बरामद किए,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARG0 NO_SRL NO_SRL
जानकारी मंत्री काफिला दोपहर बजे हंदवाड़ा इलाके गुजर,ARGM-ADV NO_SRL ARG0 ARGM-TMP ARGM-TMP NO_SRL ARG2-LOC NO_SRL
अचानक आतंकियों काफिले गोलियां चलाना शुरू कर,NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL
NULL उनके चल दस्ते मंत्री घेरे लेकर आतंकियों हमला किया,NO_SRL ARGM-MNR NO_SRL ARG0 ARG1 ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL
लेकिन हमलावर साफ NULL बच निकले,NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL
हमले किसी नुकसान हुआ,ARGM-LOC ARGM-MNR ARG1 NO_SRL
जिले इलाके राइफल्स तथा ग्रुप NULL चलाए अभियान NULL2 हुई मुठभेड़ आतंकियों NULL3 NULL4 मार गिराया,NO_SRL ARGM-LOC NO_SRL ARG0 NO_SRL NO_SRL NO_SRL ARGM-TMP NO_SRL NO_SRL ARG1 ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
NULL मारे आतंकी ताइबा संबंधित हैं,NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
इनमें एक पाकिस्तान NULL रावलपिंडी रहने था जिसकी पहचान खान रूप हुई,NO_SRL ARG0 NO_SRL NO_SRL ARG2-LOC ARG2-ATR NO_SRL NO_SRL ARG1 NO_SRL ARG2-ATR NO_SRL
आतंकी NULL अछबल रहने था,ARG0 NO_SRL ARG2-LOC ARG2-ATR NO_SRL
उसकी पहचान खान रुप हुई,NO_SRL ARG1 NO_SRL ARG2-ATR NO_SRL
NULL NULL2 बट्ट मिली जानकारी पुलिस अड्डे स्थित कॉम्पलैक्स दुकान छापा मारा,NO_SRL NO_SRL ARG2-SOU NO_SRL ARG1 ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL वहां किलो रसायन मिले,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL
बरामद किए रसायनों सल्फेट जिसे भाषा पाउडर कहा के पैकेट सल्फर किलो बोरी तथा पैकेट2 नाइट्रेट तथा2 रंग पाउडर2 जिसकी अभी तौर शिनाख्त हो बरामद2 किया,NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARGM-LOC ARG2 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
कॉम्पलैक्स दुकान तथा गोदाम है उसकी मंजिल शाह फोरम गिलानी हुर्यित तथा2 इंकलाबी आजादी कार्यालय हैं,ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
चुनाव पार्टियों एकजुट होकर NULL मैदान उतरने कांग्रेस कोशिशें नाकाम होती,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG2-LOC NO_SRL ARG0 NO_SRL NO_SRL NO_SRL
पार्टी पासवान कांग्रेस साफ कह कि उन्हें मुख्यमंत्री समझौता मंजूर NULL ।,NO_SRL ARG0 ARG2 ARGM-MNR NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
जबकि कांग्रेस कहना कि पासवान शर्त नतीजों विचार किया,NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL पासवान मनाने कोशिशों सिंह उनसे मुलाकात की2,NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
मुलाकात दिग्विजय कहा कि वह NULL अभी पासवान मनाने कामयाब हुए,ARGM-TMP ARG0 NO_SRL ARG1 ARG0 NO_SRL ARGM-EXT ARG1 NO_SRL NO_SRL NO_SRL
पासवान मुख्यमंत्री शर्त सिंह कहा कि पासवान2 NULL पहले कांग्रेस व दलों मिलकर चुनाव लड़ना,NO_SRL NO_SRL ARGM-LOC ARG0 NO_SRL ARG1 ARG0 NO_SRL ARGM-TMP NO_SRL ARG1 NO_SRL ARGM-MNR ARG1 NO_SRL
कांग्रेस पहले किसी पेश करने हक है,ARG1 ARGM-MNR NO_SRL NO_SRL NO_SRL ARG2-ATR NO_SRL
पासवान आज साफ कहा कि अगर दल मुख्यमंत्री NULL शर्त मानने तैयार है तो वह गठबंधन विचार कर,ARG0 ARGM-TMP ARGM-MNR NO_SRL ARG1 NO_SRL ARG0 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
पासवान NULL कांग्रेस दलील देते अपनी शर्त राजी करने कोशिश की2 कि कांग्रेस2 धर्मनिरपेक्षता कुर्बानी देती,ARG0 NO_SRL ARG2 ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
आयोग लोकसभा सांसदों बर्खास्तगी चलते खाली हुए सीटों उपचुनाव कराने तैयार है,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
वर्तमान देश राज्यों सूचियों संशोधन काम चल,ARGM-TMP NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 NO_SRL
आयोग सूत्रों आयोग2 NULL चुनाव2 कराने तैयार है,NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
सूची संशोधन कार्य पूरा होने आयोग उपचुनाव निर्णय ले,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP ARG0 ARGM-LOC ARG1 NO_SRL
इसके दिन सांसदों NULL की कार्रवाई आयोग अवगत करा,ARGM-DIS ARGM-TMP ARGM-LOC NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
सरकार नीतियों NULL खुलकर विरोध करने वामदल बार चिदंबरम हद खुश नजर आए,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL बजट हद कार्यक्रम सीएमपी के बताते वामदलों इसे बेहतर बताया,NO_SRL ARG2 NO_SRL ARG1 NO_SRL NO_SRL ARGM-ADV ARG0 ARG1 ARGM-MNR NO_SRL
हालांकि कृषि आवंटन ड्यूटी कटौती NULL व बजट2 इज़ाफ़े लेकर सरकार उनकी नाराजगी बरकरार है,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बजट शिक्षा रोजगार व स्वास्थ्य क्षेत्रों ध्यान दिए खुश वामदलों NULL मलाल है कि चिदंबरम व्यय रुपये बढ़ाने उनकी मांग मानी,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL ARG1 NO_SRL
पर बहुत नहीं तो -JOIN कहावत अमल करते वामदल बजट शुरुआत रूप देख,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 ARG1 NO_SRL ARGM-MNR NO_SRL
वामदल लगातार सरकार शिक्षा स्वास्थ्य व रोजगार NULL क्षेत्रों प्रावधान बढ़ाने दबाव बनाए,NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL
बसु मुद्रा बहिर्गमन NULL टैक्स लगाने वकालत की2,ARG0 NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
बजट इज़ाफ़े विरोध करते उन्होंने कहा कि हालात बजट2 तरह बढ़ोतरी जरूरत है,NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बहस वह मुद्दे उठाएंगे,ARGM-TMP ARG0 ARG1 NO_SRL
आवंटन जिक्र करते उन्होंने कहा कि क्षेत्र विकास प्रावधान किए,NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 NO_SRL ARGM-PRP ARG1 NO_SRL
NULL पदार्थो उपकर लगाने प्रस्ताव समर्थन करते नेता कहा कि पदार्थो2 ड्यूटी घटाई,NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 ARGM-LOC ARG1 NO_SRL
इसलिए इनकी कीमतों फ़र्क पड़ेगा,ARGM-DIS NO_SRL ARGM-LOC ARG1 NO_SRL
आरएसपी रॉय कहा कि बजट किसानों कुछ किया,NO_SRL ARG0 NO_SRL ARG1 ARGM-LOC ARGM-PRP ARG1 NO_SRL
उद्योग योजना है और कस्टम कटौती असर उद्योग2 पड़ेगा,ARGM-PRP ARG1 NO_SRL NO_SRL ARGM-LOC NO_SRL ARG1 ARGM-LOC NO_SRL
बजट बहस वह मुद्दों शिद्दत उठाएंगे,ARGM-LOC ARGM-TMP ARG0 ARG1 ARGM-MNR NO_SRL
दासगुप्ता NULL ड्यूटी घटाए प्रस्ताव नाराज हैं,ARG1 NO_SRL ARG1 NO_SRL ARGM-CAU ARG2-ATR NO_SRL
उनकी दलील NULL है कि इससे उद्योग असर पड़ेगा,NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL ARGM-CAU ARGM-LOC ARG1 NO_SRL
सिंचाई योजना है,ARGM-PRP ARG1 NO_SRL
विकास योजनाओं ध्यान दिया,ARGM-PRP ARGM-LOC ARG1 NO_SRL
तट NULL हुई दुर्घटना NULL2 मारे भारतीयों संख्या NULL3 बढ़कर २१ हो,ARGM-LOC NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 ARG1 NO_SRL ARG2-ATR ARGM-EXT NO_SRL
तट NULL हुई दुर्घटना NULL2 मारे भारतीयों संख्या NULL3 बढ़कर २१ हो,ARGM-LOC NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 ARG1 NO_SRL ARG2-ATR ARGM-EXT NO_SRL
उन्होंने कहा कि वह बहरीन भारत शेट्टी लगातार संपर्क हैं और NULL शवों शीघ्र भारत2 भेजने उनसे प्रयास करने आग्रह किया,ARG0 NO_SRL ARG1 ARG1 ARGM-LOC NO_SRL ARGM-MNR ARGM-MNR ARG2-ATR NO_SRL NO_SRL NO_SRL ARG1 ARGM-MNR ARG2-GOL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बहरहाल मंत्री उम्मीद जताई कि शवों रविवार शाम भारत लाया,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARGM-TMP ARGM-TMP ARGM-LOC NO_SRL
रवि कहा कि बहरीन अधिकारियों प्रक्रियाओं पूरा कर शवों राजदूत और परिजनों सौंप,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP ARG1 NO_SRL ARG2 NO_SRL NO_SRL
मृतकों NULL परिजनों मुआवज़ा देने उन्होंने कहा कि इस बाद विचार किया,NO_SRL NO_SRL ARG2 ARG1 ARGM-ADV ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
फिलहाल NULL शवों भारत लाना प्राथमिकता है,ARGM-ADV NO_SRL ARG1 ARGM-LOC ARG1 ARG2-ATR NO_SRL
"बहरहाल दुर्घटना भारतीयों मारे पुष्टि हो उनमें केरल ,2 तमिलनाडु ,3 प्रदेश दिल्ली गोवा कर्नाटक NULL ,7 बिहार और महाराष्ट्र एक2 NULL2 लोग शामिल हैं जबकि शव पहचान हो2",NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
NULL गौरतलब है कि तट किलोमीटर दूर समुद्र रात बजे समयानुसार नाव दाना डूब लोगों मौत हो,ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARGM-LOC ARGM-TMP ARGM-TMP NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
नाव यात्री सवार थे जबकि इसकी क्षमता यात्रियों NULL ले थी,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 ARGM-MNR NO_SRL ARG2-ATR NO_SRL
नाव NULL कैप्टन हिरासत लेकर उनसे पूछताछ की,NO_SRL NO_SRL ARG1 ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL
घंटे बीत घटना कारणों फिलहाल पता चल,ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बहरीन मामलों खलीफा कहा कि गड़बड़ी जरूर हुई जिसके नाव डूब,NO_SRL NO_SRL ARG0 NO_SRL ARG1 ARG1 ARG2-ATR NO_SRL ARGM-CAU ARG1 NO_SRL
नाव मालिक कुबैशी बताया कि नाव2 यात्री सवार थे,NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
गार्ड सेना मदद लोगों पता लगाने जुटा,ARG0 NO_SRL ARGM-MNR NO_SRL NO_SRL ARG1 NO_SRL
काम हेलीकॉप्टर मदद ली,ARGM-LOC NO_SRL ARG1 NO_SRL
सेना दस्ते सेवानिवृत्त हुए जवान प्रशिक्षण देंगे,NO_SRL NO_SRL NO_SRL NO_SRL ARG0 ARG1 NO_SRL
बैठक राज्यों NULL मिल NULL2 योजना सालों बढ़ाने निर्णय लिया,NO_SRL ARG0 NO_SRL NO_SRL NO_SRL ARG1 ARGM-PRP NO_SRL NO_SRL NO_SRL
तहत राज्यों केन्द्र रुपये मिलते,ARGM-MNS ARG0 ARG2-SOU ARG1 NO_SRL
अप्रैल राज्यों मुख्यमंत्रियों बैठक समस्या काबू पाने उपायों चर्चा होगी,ARGM-TMP NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
बैठक दुग्गल कहा कि केन्द्र नक्सलियों विस्फोटों बढ़ती NULL वारदातों देखते सेना जवानों NULL2 सेवाएं लेने योजना मंजूरी दी,ARGM-TMP ARG0 NO_SRL ARG1 ARG0 ARG0 ARG1 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
उन्होंने कहा कि सरकार आंदोलन समाप्त करने सेना शामिल करने2 पक्ष है,ARG0 NO_SRL ARG1 ARG1 NO_SRL NO_SRL ARGM-PRP NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL
इसलिए सैनिकों कार्य मदद लेने योजना है,ARGM-DIS NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
दुग्गल देश नक्सलवाद तरह नियंत्रण होने दावा किया,NO_SRL NO_SRL ARG1 ARGM-EXT ARG2-ATR NO_SRL NO_SRL NO_SRL
उन्होंने कहा कि छत्तीसगढ़ और प्रदेश घटनाओं इजाफा हुआ जबकि राज्यों कमी आई,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
छत्तीसगढ़ हिंसा वृद्धि NULL वजह बताते उन्होंने कहा कि वहां लोग नक्सलियों लामबंद हो,NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARGM-MNR ARG0 NO_SRL ARG1 ARGM-LOC ARG1 ARGM-PRP ARG2-ATR NO_SRL
बैठक केन्द्र राज्यों पुलिस NULL पदों भरने कहा,ARGM-LOC ARG0 ARG2 NO_SRL NO_SRL ARG1 ARG1 NO_SRL
दुग्गल माना कि राज्यों संख्या पुलिस पद समय भरे,ARG0 NO_SRL ARG1 ARGM-LOC ARGM-ADV NO_SRL ARG1 ARGM-MNR NO_SRL
उन्होंने कहा कि राज्यों तंत्र मजबूत करना,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
उन्होंने कहा कि राज्यों आर्थिक व सामाजिक NULL कार्यो लेकर पुलिस NULL2 आधुनिकीकरण तेजी लाने कहा2,ARG0 NO_SRL ARG1 ARG2 NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 ARG1 NO_SRL
नियंत्रण एनर्जी प्रदेश मेगावाट NULL प्लांट इंडस्ट्रीज गैस खरीदने महीने समझौते दस्तखत करने उम्मीद है,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-PRP ARG2-SOU ARG1 ARGM-PRP ARGM-TMP ARGM-LOC NO_SRL NO_SRL ARG1 NO_SRL
सूत्रों बताया कि प्लांट समझौते हस्ताक्षर हफ्ते होने,ARG0 NO_SRL ARG1 ARGM-PRP ARGM-LOC ARG1 ARG2-ATR NO_SRL
लागत परियोजना विश्व तौर बताया,NO_SRL ARG1 NO_SRL ARGM-MNR NO_SRL
प्लांट यूनिट शुरू होने आरआईएल ०९ NULL गैस मिलनी शुरू2 हो,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
आरआईएल पाइपलाइन गैस आपूर्ति गोदावरी फील्ड क्षेत्र काकीनाडा आएगी,ARG1 ARGM-MNS NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL ARG2-SOU NO_SRL
इसके उत्पादन २००८ छमाही शुरू होने उम्मीद है,ARGM-MNR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
अधिकारियों कहना कि रिलायंस अपनी गैस दफा प्लांट एनटीपीसी को बेची,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG1 ARGM-ADV ARG2 NO_SRL NO_SRL NO_SRL
एनटीपीसी रिलायंस गुजरात स्थित कवास और प्लांट गैस NULL खरीदने है,ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
इसकी कीमत मिलियन यूनिट डॉलर दर चुकाई,NO_SRL ARG1 NO_SRL ARGM-LOC NO_SRL ARGM-MNR NO_SRL
संभवतः कीमत परियोजना होगी,ARGM-EXT ARG1 ARG2-ATR NO_SRL
गैस संबंधी समझौते परियोजना लेकर NULL चल अनिश्चितता विराम लग,NO_SRL NO_SRL NO_SRL ARGM-LOC ARGM-MNR NO_SRL ARG1 ARG1 NO_SRL NO_SRL
रिलायंस NULL हक लेकर NULL2 चले द्वंद्व परियोजना दौर गुजरना,NO_SRL NO_SRL ARG1 ARGM-MNR NO_SRL NO_SRL ARGM-CAU ARG0 ARGM-TMP NO_SRL
आरआईएल तब योजनाओं और आरईएल NULL आपूर्ति लेकर सवाल उठाए,ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
हालांकि महीनों सफाई होने आरईएल बैठक जून अंबानी कहा कि प्लांट आरआईएल गैस मिलेगी,NO_SRL ARGM-TMP ARG1 ARGM-ADV NO_SRL ARGM-LOC ARGM-TMP ARG0 NO_SRL ARG1 ARG0 ARG2-SOU ARG1 NO_SRL
वह है NULL प्रोजेक्ट ऋण देने समूहों और संस्थानों झंडी,ARG0 NO_SRL NO_SRL ARGM-PRP ARG1 ARGM-MNR NO_SRL ARGM-MNR NO_SRL ARG2-ATR
सरकार लहरों NULL हुए हादसे असर उद्योग पड़े इसके कोशिश तेज कर,NO_SRL ARGM-CAU NO_SRL NO_SRL ARG1 ARG1 ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
सरकार हादसे शिकार NULL पर्यटकों NULL2 भारत NULL3 होकर जाने वीज़ा देने फैसला किया,ARG0 NO_SRL NO_SRL NO_SRL ARG2 NO_SRL ARGM-LOC NO_SRL ARGM-MNR ARGM-PRP ARG1 NO_SRL NO_SRL NO_SRL
