Sentence,Dependency,SRLs
माकपा दलों कार्यक्रम रूप देने कल होनेवाली बैठक यूपीए व दलों2 पुल काम करने NULL समिति बनाने चर्चा करेगी जिसका अध्यक्ष NULL2 सुरजीत बनाने2 संभावना है,k1 ras-k1 k4 k2 vmod k7t nmod k7p ccof k7 ccof r6v pof nmod root k2 k2 pof root r6 rs root jk1 k2 pof nmod__relc,ARG0 ARGM-MNR ARG2 ARG1 NO_SRL ARGM-TMP NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
", सूत्रों बताया कि पार्टी उसकी सहयोगी और वामपंथियों समर्थन देने पार्टियों बुधवार बैठक होने उम्मीद है जिसमें गांधी रूप यूपीए अध्यक्ष चुना",k7 k1 root k2 ccof r6 ccof vmod ccof pof nmod ccof k7t pof r6v pof ccof k7p k2 vmod r6 k2s nmod__relc,ARGM-TMP ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 ARGM-MNR NO_SRL ARG3 NO_SRL
यूपीए दल गांधी ही दल2 अध्यक्ष चुना,r6 r6 k2 k7t r6 k2s root,NO_SRL NO_SRL ARG1 ARGM-ADV NO_SRL ARG3 NO_SRL
कलाम जवान NULL ले समान बृहस्पतिवार सुबह बक्सर ट्रेन चोरी हो,r6 k1 root nmod__k2inv k1 r6 k7t k7p k5 pof root,NO_SRL ARG0 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
शिकायत उन्होंने कहा कि एक्सप्रेस जबलबुर दानापुर यात्रा सामान चोरी हुआ,k7 k1 root k2 k5 rsp r6 k7 k2 pof ccof,ARGM-LOC ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
पुलिस चोरी NULL गए सामान लॉगबुक और उपयोग वस्तुएं थीं,k7 pof nmod__k1inv fragof k7p ccof r6 ccof k1 root,ARGM-DIS NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
कुमार कहा कि राष्ट्रपति यात्रा वह राष्ट्रपति2 काफ़िले सुरक्षागार्डों ट्रेन जबलपुर पटना जा,k1 root k2 r6 k7 k1 r6 r6 ras-k1 k3 k5 k2p ccof,ARG0 NO_SRL ARG1 NO_SRL ARGM-CAU ARG0 NO_SRL NO_SRL ARGM-MNR ARGM-MNS ARG2-SOU ARG2-GOL NO_SRL
उन्होंने कहा कि उनके सामान मोटरसाइकिलों लॉगबुक थे,k1 root k2 r6 k7p r6 k1 ccof,ARG0 NO_SRL ARG1 NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL
मोटरसाइकिलों मार्ग पटना भेजा,k2 k3 k7p root,ARG1 ARGM-MNS ARG2-GOL NO_SRL
कश्मीर केंद्र वार्ताकार वोहरा अपने पद इस्तीफा दे,k7p r6 nmod k1 r6 k5 k2 root,ARGM-LOC NO_SRL NO_SRL ARG0 NO_SRL ARGM-LOC ARG1 NO_SRL
सूत्रों बताया कि वोहरा अपना इस्तीफा सरकार ग्रहण करने दिन सिंह सौंप,k1 root k2 k1 r6 k2 r6-k2 pof r6 k7t k4 ccof,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARGM-EXT ARG2 NO_SRL
सूत्रों बताया कि वोहरा सरकार उनकी नियुक्ति किए वजह पद इस्तीफा दिया,k1 root k2 k1 rd r6-k2 pof r6 rh k5 pof ccof,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हालांकि नेतृत्व सरकार अभी तय करना बाकी है कि प्रक्रिया जारी NULL रखने वोहरा पद बनाए या फिर उनके स्थान और लाया,root nmod k1 k7t pof rt k1 ccof k2 k2 pof root rt k2 k7 ccof ccof sent-adv r6 k7 k2 ccof,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL ARGM-ADV NO_SRL NO_SRL NO_SRL ARGM-PRP ARG1 ARGM-LOC NO_SRL NO_SRL ARGM-ADV NO_SRL ARGM-LOC ARG1 NO_SRL
वहीं कश्मीर माकपा ईकाई तारीगामी पत्रकारों कहा कि हम सरकार कार्यक्रम पाकिस्तान और कश्मीर2 संगठनों वार्ता शामिल करने अपील करते,sent-adv k7p r6 r6 k1 k2 root k2s k1 k2 k7 ccof r6 ccof ras-k1 k2 pof r6-k2 pof ccof,ARGM-DIS ARGM-LOC NO_SRL NO_SRL ARG0 ARG2 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
उन्होंने कहा कि NULL राज्य खूनखराबा रोकने स्तर पाकिस्तान वार्ता शुरू करने NULL2 और वार्ता2 कश्मीर विचारधाराओं दलों शामिल करने2 कदम उठाने जरूरत है,k1 root k2 root k7p k2 rt k7 ras-k1 k2 pof ccof root k2u k7 r6 nmod k2 pof ccof k2 r6 k1 ccof,ARG0 NO_SRL ARG1 NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARG1 NO_SRL
उन्होंने कहा कि सिंह और मुशर्रफ या सचिवों बैठक कदमों संबंधों मजबूती देने जरूरत है,k1 root k2 ccof k7 ccof ccof ccof k2u k3 k4 pof r6 k1 ccof,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
संगठन उम्मीद जताई कि सरकार सरकार2 वार्ता नतीजों सम्मान करेगी,k1 k2 root k2s k1 ras-k1 r6 r6-k2 pof ccof,ARG0 ARG1 NO_SRL ARGM-ADV NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
अंसारी कहा कि हम पाटिल बयान स्वागत करते जिसमें उन्होंने अलगाववादियों वार्ता जारी रखने बात कही,k1 root k2 k1 r6 r6-k2 pof ccof k7 k1 ras-k1 k2 pof r6-k2 pof nmod__relc,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
यह संकेत है,k1 k1s root,ARG1 ARG2-ATR NO_SRL
सरकार कहा कि अभियोजन मामले साबित करने संभावना थी,k1 root k2 k3 k2 pof k1 pof ccof,ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हेगड़े सिंह और सिन्हा बेंच बुधवार मामले सुनवाई हफ्ते टाल तथा सरकार फैसले चुनौती देने याचिका पक्षों दस्तावेज दाखिल करने अनुमति दे,ccof ccof r6 ccof k1 k7t r6 k2 k7t ccof root r6 k2 pof nmod__k1inv k2 k4 k2 pof r6-k2 pof ccof,NO_SRL NO_SRL NO_SRL NO_SRL ARG0 ARGM-TMP NO_SRL ARG1 ARGM-EXT NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
खंडपीठ तसलीमुद्दीन मामले वापस लेने सरकार NULL दिखाई जल्दबाजी सवाल किया,k1 nmod k2 pof k7 k1 root nmod__k2inv k2 pof root,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG0 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL
विभाग सरकार शपथ साफ़ कहा कि NULL मामले तसलीमुद्दीन को आगे बढ़ाने लाभ है2 क्योंकि इसमें अभियोजन सफलता मिलने आसार हैं,k1 rd k7 vmod root k2 root k2 nmod fragof k7t r6-k1 pof ccof rh k7 k4a k1 r6-k1 pof ccof,ARGM-LOC ARGM-DIR ARGM-LOC ARGM-MNR NO_SRL ARG1 NO_SRL ARG1 NO_SRL NO_SRL ARGM-DIR NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG0 ARG1 NO_SRL NO_SRL NO_SRL
NULL मामले आगे बढ़ाना अदालत समय बर्बाद करना,root k2 k7t k1 r6 k2 pof root,NO_SRL ARG1 ARGM-DIR NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
हालांकि मामला अदालत १९९६ लंबित था,root k1 k7p k7t k1s ccof,NO_SRL ARG1 ARGM-LOC ARGM-TMP ARG2-ATR NO_SRL
सरकार तसलीमुद्दीन मामलों जल्दबाजी वापस लेने एतराज़ जताते अदालत साल सितंबर अदालत2 मुद्दे आगे सुनवाई करने रोक,k1 vmod k2 adv pof k2 pof vmod k1 k7t k7t k2 k7 k7t pof vmod root,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 ARGM-TMP ARGM-TMP ARG2 NO_SRL NO_SRL NO_SRL ARGM-MNR NO_SRL
सरकार शपथ कहा कि मामला बदले भावना किया,k1 k7 root k2 k2 r6 rh ccof,ARG0 ARGM-LOC NO_SRL ARG1 ARG1 NO_SRL ARGM-MNR NO_SRL
पुलिस रिपोर्ट कहा कि साक्ष्य अभियोजन समर्थन करते,k1 k7 root k2 k1 r6-k2 pof ccof,ARG0 ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
लिहाजा मुकदमा जारी रहने फ़ायदा है इसलिए जनहित केस वापस लेना उचित होगा,root k1 pof r6 k1 ccof rh rt k2 pof k1 k1s ccof,NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARGM-CAU ARGM-LOC NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
उल्लेखनीय NULL है कि १९९६ थाने तसलीमुद्दीन व अन्य प्राथमिकी दर्ज हुई और संहिता १४७ १४८ ३०७ और2 धाराओं आरोप लगाए,k1s k1 root rs k7t k7p ccof vmod ccof k1 pof ccof ccof r6 ccof ccof ccof k7 ccof k2 ccof,ARG2-ATR ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-EXT NO_SRL ARG1 NO_SRL
वर्ष NULL जाते करीब साल पुराने गठबंधन यूपीए में फूट संकेत दे,k1 root adv nmod jjmod nmod k7 nmod fragof r6-k2 pof root,ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
सरकार दलों घोषणा कांग्रेस सकते है,r6 r6 rh k1 k7 root,NO_SRL NO_SRL ARGM-CAU ARG1 ARG2-ATR NO_SRL
बैठक नेताओं सुप्रीमो यादव व पवार फोन कर तरह NULL दबाव आकर समूह गठन खबर खारिज करने कहा,k7t k1 nmod ccof k2 ccof pof vmod r6 root k7 vmod r6 r6 k2 pof rt root,ARGM-TMP ARG0 NO_SRL NO_SRL ARG0 NO_SRL NO_SRL ARGM-MNR NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL
दरअसल राव यूपीए वामदलों तरजीह दिए नाराज हैं,sent-adv k1 k7 k2 pof rh k1s root,ARGM-ADV ARG1 NO_SRL NO_SRL NO_SRL ARGM-CAU ARG2-ATR NO_SRL
उनका मानना कि सरकार राज्य मुद्दे गंभीरता ले,k1 root k2 k1 r6 k2 adv ccof,ARG0 NO_SRL ARG1 ARG0 NO_SRL ARG1 ARGM-MNR NO_SRL
उनके कांग्रेसी व वामदल NULL फ्रंट बनाने जरूरत है,k7 ccof nmod ccof root k2 r6 k1 root,ARGM-ADV NO_SRL ARG0 NO_SRL NO_SRL ARG1 NO_SRL ARG1 NO_SRL
सरकार शामिल दल अगर कांग्रेसी व वामदल फ्रंट बनाते तो यूपीए सेहत बिगड़नी लाजिमी है,k7 nmod__k1inv k1 rh ccof nmod ccof k2 ccof root r6 k1 k1 k1s ccof,NO_SRL NO_SRL ARG0 ARGM-ADV NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARG1 ARG1 ARG2-ATR NO_SRL
NULL यही सोचकर कांग्रेस NULL2 राव मनाने कोशिशें शुरू कर,root k2 vmod k1 root k2 r6 k2 pof root,NO_SRL ARG1 NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
पार्टी नेता पटेल कहा कि यदि यूपीए दलों शिकायत है तो गांधी उनसे बात करने तैयार हैं,r6 nmod k1 root k2 rh r6 k2 k1 ccof ccof k1 ras-k1 pof rt k1s ccof,NO_SRL NO_SRL ARG0 NO_SRL ARG1 ARGM-ADV NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARGM-PRP ARG2-ATR NO_SRL
बातचीत मसले हल तलाशा,k3 r6 k2 root,ARGM-MNS NO_SRL ARG1 NO_SRL
उन्होंने कहा कि सरकार तरह दिक्कतें आती,k1 root k2 k7 r6 k1 ccof,ARG0 NO_SRL ARG1 ARGM-LOC NO_SRL ARG1 NO_SRL
वहीं अनंतनाग किलो विस्फोटक और NULL NULL2 विस्फोटक2 बनाने रसायन बरामद किए,sent-adv k7p nmod ccof k2 root root k2 nmod ccof pof root,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL ARG0 NO_SRL NO_SRL
जानकारी मंत्री काफिला दोपहर बजे हंदवाड़ा इलाके गुजर,k7 r6 k1 k7t k7t r6 k7p root,ARGM-ADV NO_SRL ARG0 ARGM-TMP ARGM-TMP NO_SRL ARG2-LOC NO_SRL
अचानक आतंकियों काफिले गोलियां चलाना शुरू कर,sent-adv k1 k7 k2 k2 pof root,NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL
NULL उनके चल दस्ते मंत्री घेरे लेकर आतंकियों हमला किया,root ras-k1 nmod__k1inv k1 k2 k7p vmod k7p pof root,NO_SRL ARGM-MNR NO_SRL ARG0 ARG1 ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL
लेकिन हमलावर साफ NULL बच निकले,root k1 adv root pof ccof,NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL
हमले किसी नुकसान हुआ,k7 k4a k1 root,ARGM-LOC ARGM-MNR ARG1 NO_SRL
जिले इलाके राइफल्स तथा ग्रुप NULL चलाए अभियान NULL2 हुई मुठभेड़ आतंकियों NULL3 NULL4 मार गिराया,r6 k7p ccof k1 ccof root nmod__k2inv k7t root nmod__k1inv k7 k2 root root pof root,NO_SRL ARGM-LOC NO_SRL ARG0 NO_SRL NO_SRL NO_SRL ARGM-TMP NO_SRL NO_SRL ARG1 ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
NULL मारे आतंकी ताइबा संबंधित हैं,root nmod__k2inv k1 ras-k1 pof root,NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
इनमें एक पाकिस्तान NULL रावलपिंडी रहने था जिसकी पहचान खान रूप हुई,nmod k1 r6 root r6 k1s root r6 k1 r6 k7 nmod__relc,NO_SRL ARG0 NO_SRL NO_SRL ARG2-LOC ARG2-ATR NO_SRL NO_SRL ARG1 NO_SRL ARG2-ATR NO_SRL
आतंकी NULL अछबल रहने था,k1 root r6 k1s root,ARG0 NO_SRL ARG2-LOC ARG2-ATR NO_SRL
उसकी पहचान खान रुप हुई,r6 k1 r6 k7 root,NO_SRL ARG1 NO_SRL ARG2-ATR NO_SRL
NULL NULL2 बट्ट मिली जानकारी पुलिस अड्डे स्थित कॉम्पलैक्स दुकान छापा मारा,root root k5 nmod__k2inv k7 k1 jjmod nmod k7p k2 pof root,NO_SRL NO_SRL ARG2-SOU NO_SRL ARG1 ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL वहां किलो रसायन मिले,root k5 nmod k1 root,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL
बरामद किए रसायनों सल्फेट जिसे भाषा पाउडर कहा के पैकेट सल्फर किलो बोरी तथा पैकेट2 नाइट्रेट तथा2 रंग पाउडर2 जिसकी अभी तौर शिनाख्त हो बरामद2 किया,pof nmod__k2inv k7 r6 k2 k7 k2s nmod__relc fragof ccof r6 r6 ccof ccof ccof ccof k2 r6 ccof r6-k1 k7t k7 pof nmod__relc pof root,NO_SRL NO_SRL NO_SRL NO_SRL ARG1 ARGM-LOC ARG2 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
कॉम्पलैक्स दुकान तथा गोदाम है उसकी मंजिल शाह फोरम गिलानी हुर्यित तथा2 इंकलाबी आजादी कार्यालय हैं,k7p ccof k1 ccof nmod__relc r6 k7p r6 ccof r6 ccof k1 r6 r6 ccof root,ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL
चुनाव पार्टियों एकजुट होकर NULL मैदान उतरने कांग्रेस कोशिशें नाकाम होती,k7 r6-k1 pof vmod root k7p r6 r6 k1 pof root,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG2-LOC NO_SRL ARG0 NO_SRL NO_SRL NO_SRL
पार्टी पासवान कांग्रेस साफ कह कि उन्हें मुख्यमंत्री समझौता मंजूर NULL ।,r6 k1 k2g adv root k2 k1 vmod k2 pof ccof fragof,NO_SRL ARG0 ARG2 ARGM-MNR NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
जबकि कांग्रेस कहना कि पासवान शर्त नतीजों विचार किया,root k1 ccof k2 r6 k7 k7t pof ccof,NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL पासवान मनाने कोशिशों सिंह उनसे मुलाकात की2,root k2 r6 k7 k1 ras-k1 pof root,NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
मुलाकात दिग्विजय कहा कि वह NULL अभी पासवान मनाने कामयाब हुए,k7t k1 root k2 k1 root k7t k2 k7 pof ccof,ARGM-TMP ARG0 NO_SRL ARG1 ARG0 NO_SRL ARGM-EXT ARG1 NO_SRL NO_SRL NO_SRL
पासवान मुख्यमंत्री शर्त सिंह कहा कि पासवान2 NULL पहले कांग्रेस व दलों मिलकर चुनाव लड़ना,r6 r6 k7 k1 root k2 k1 root k7t ccof ras-k1 ccof vmod k2 ccof,NO_SRL NO_SRL ARGM-LOC ARG0 NO_SRL ARG1 ARG0 NO_SRL ARGM-TMP NO_SRL ARG1 NO_SRL ARGM-MNR ARG1 NO_SRL
कांग्रेस पहले किसी पेश करने हक है,k1 k7t k2 pof r6 k7 root,ARG1 ARGM-MNR NO_SRL NO_SRL NO_SRL ARG2-ATR NO_SRL
पासवान आज साफ कहा कि अगर दल मुख्यमंत्री NULL शर्त मानने तैयार है तो वह गठबंधन विचार कर,k1 k7t adv root k2 rh k1 r6 root k2 vmod pof ccof ccof k1 k7 pof ccof,ARG0 ARGM-TMP ARGM-MNR NO_SRL ARG1 NO_SRL ARG0 NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
पासवान NULL कांग्रेस दलील देते अपनी शर्त राजी करने कोशिश की2 कि कांग्रेस2 धर्मनिरपेक्षता कुर्बानी देती,k1 root k4 k2 vmod r6 k7 pof r6-k2 pof root k2 k1 rt pof ccof,ARG0 NO_SRL ARG2 ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
आयोग लोकसभा सांसदों बर्खास्तगी चलते खाली हुए सीटों उपचुनाव कराने तैयार है,k1 k5 r6 r6v vmod pof nmod rt pof rt pof root,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
वर्तमान देश राज्यों सूचियों संशोधन काम चल,k7t r6 k7p r6 r6 k2 root,ARGM-TMP NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 NO_SRL
आयोग सूत्रों आयोग2 NULL चुनाव2 कराने तैयार है,r6 k7 k1 root k2 rt pof root,NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
सूची संशोधन कार्य पूरा होने आयोग उपचुनाव निर्णय ले,r6 r6 k2 pof k7 k1 k7 k2 root,NO_SRL NO_SRL NO_SRL NO_SRL ARGM-TMP ARG0 ARGM-LOC ARG1 NO_SRL
इसके दिन सांसदों NULL की कार्रवाई आयोग अवगत करा,vmod k1 vmod root nmod__k2inv k3 k2 pof root,ARGM-DIS ARGM-TMP ARGM-LOC NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
सरकार नीतियों NULL खुलकर विरोध करने वामदल बार चिदंबरम हद खुश नजर आए,r6 r6-k2 root adv pof nmod__k1inv k1 k7 k5 k7 adv pof root,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL बजट हद कार्यक्रम सीएमपी के बताते वामदलों इसे बेहतर बताया,root k2 nmod k7 nmod fragof adv k1 k2 k2s root,NO_SRL ARG2 NO_SRL ARG1 NO_SRL NO_SRL ARGM-ADV ARG0 ARG1 ARGM-MNR NO_SRL
हालांकि कृषि आवंटन ड्यूटी कटौती NULL व बजट2 इज़ाफ़े लेकर सरकार उनकी नाराजगी बरकरार है,root nmod ccof nmod ccof root k2 nmod ccof adv vmod r6 k1 pof ccof,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बजट शिक्षा रोजगार व स्वास्थ्य क्षेत्रों ध्यान दिए खुश वामदलों NULL मलाल है कि चिदंबरम व्यय रुपये बढ़ाने उनकी मांग मानी,k7 ccof ccof nmod ccof k7 pof rh nmod k4a k1 pof root rs k1 k7 k2 r6 r6 k2 ccof,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL NO_SRL ARG1 NO_SRL
पर बहुत नहीं तो -JOIN कहावत अमल करते वामदल बजट शुरुआत रूप देख,root pof-idiom pof-idiom pof-idiom r6 k7 pof vmod k1 k2 r6 k7 ccof,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 ARG1 NO_SRL ARGM-MNR NO_SRL
वामदल लगातार सरकार शिक्षा स्वास्थ्य व रोजगार NULL क्षेत्रों प्रावधान बढ़ाने दबाव बनाए,k1 adv k7 ccof ccof nmod ccof root k7 k2 rt pof root,NO_SRL NO_SRL ARG0 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL
बसु मुद्रा बहिर्गमन NULL टैक्स लगाने वकालत की2,k1 nmod k7 root k2 r6-k2 pof root,ARG0 NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL NO_SRL
बजट इज़ाफ़े विरोध करते उन्होंने कहा कि हालात बजट2 तरह बढ़ोतरी जरूरत है,k7 r6-k2 pof adv k1 root k2 k7 k7 r6 r6-k1 pof ccof,NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
बहस वह मुद्दे उठाएंगे,k7t k1 k2 root,ARGM-TMP ARG0 ARG1 NO_SRL
आवंटन जिक्र करते उन्होंने कहा कि क्षेत्र विकास प्रावधान किए,r6-k2 pof vmod k1 root k2 r6 rt k2 ccof,NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 NO_SRL ARGM-PRP ARG1 NO_SRL
NULL पदार्थो उपकर लगाने प्रस्ताव समर्थन करते नेता कहा कि पदार्थो2 ड्यूटी घटाई,root k7 k2 r6 r6-k2 pof vmod k1 root k2 k7 k2 ccof,NO_SRL ARGM-LOC ARG1 NO_SRL NO_SRL NO_SRL ARGM-MNR ARG0 NO_SRL ARG1 ARGM-LOC ARG1 NO_SRL
इसलिए इनकी कीमतों फ़र्क पड़ेगा,rh r6 k7 k1 root,ARGM-DIS NO_SRL ARGM-LOC ARG1 NO_SRL
आरएसपी रॉय कहा कि बजट किसानों कुछ किया,r6 k1 root k2 k7 rt k2 ccof,NO_SRL ARG0 NO_SRL ARG1 ARGM-LOC ARGM-PRP ARG1 NO_SRL
उद्योग योजना है और कस्टम कटौती असर उद्योग2 पड़ेगा,rt k1 ccof root k7 r6 k1 k7 ccof,ARGM-PRP ARG1 NO_SRL NO_SRL ARGM-LOC NO_SRL ARG1 ARGM-LOC NO_SRL
बजट बहस वह मुद्दों शिद्दत उठाएंगे,k7 k7t k1 k2 adv root,ARGM-LOC ARGM-TMP ARG0 ARG1 ARGM-MNR NO_SRL
दासगुप्ता NULL ड्यूटी घटाए प्रस्ताव नाराज हैं,k1 root k2 r6 rh k1s root,ARG1 NO_SRL ARG1 NO_SRL ARGM-CAU ARG2-ATR NO_SRL
उनकी दलील NULL है कि इससे उद्योग असर पड़ेगा,r6 k1 k1s root rs rh k7 k1 ccof,NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL ARGM-CAU ARGM-LOC ARG1 NO_SRL
सिंचाई योजना है,rt k1 root,ARGM-PRP ARG1 NO_SRL
विकास योजनाओं ध्यान दिया,rt k7 k2 root,ARGM-PRP ARGM-LOC ARG1 NO_SRL
तट NULL हुई दुर्घटना NULL2 मारे भारतीयों संख्या NULL3 बढ़कर २१ हो,k7p root nmod__k1inv k7 root nmod__k2inv r6 k1 root vmod k1s root,ARGM-LOC NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 ARG1 NO_SRL ARG2-ATR ARGM-EXT NO_SRL
तट NULL हुई दुर्घटना NULL2 मारे भारतीयों संख्या NULL3 बढ़कर २१ हो,k7p root nmod__k1inv k7 root nmod__k2inv r6 k1 root vmod k1s root,ARGM-LOC NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG1 ARG1 NO_SRL ARG2-ATR ARGM-EXT NO_SRL
उन्होंने कहा कि वह बहरीन भारत शेट्टी लगातार संपर्क हैं और NULL शवों शीघ्र भारत2 भेजने उनसे प्रयास करने आग्रह किया,k1 root k2 k1 k7p r6 ras-k1 adv k7 ccof ccof root k2 adv k2p rt k2 pof ras-k2 pof ccof,ARG0 NO_SRL ARG1 ARG1 ARGM-LOC NO_SRL ARGM-MNR ARGM-MNR ARG2-ATR NO_SRL NO_SRL NO_SRL ARG1 ARGM-MNR ARG2-GOL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
